ym,country,cust_cnt,rev_total,ARPPU
2010-12,Netherlands,2,8784.480000000001,4392.240000000001
2010-12,Sweden,1,3834.3,3834.3
2010-12,Norway,1,3787.1199999999994,3787.1199999999994
2010-12,Japan,3,7705.0700000000015,2568.356666666667
2010-12,EIRE,4,10033.259999999995,2508.3149999999987
2010-12,Lithuania,1,1661.06,1661.06
2010-12,Cyprus,1,1590.82,1590.82
2010-12,Denmark,1,1281.5000000000002,1281.5000000000002
2010-12,"United Kingdom",816,748268.9799999759,916.9962990195783
2010-12,Finland,1,892.8000000000001,892.8000000000001
2010-12,Germany,18,15241.140000000001,846.73
2010-12,Iceland,1,711.7900000000001,711.7900000000001
2010-12,Switzerland,2,1304.9199999999996,652.4599999999998
2010-12,France,15,9616.30999999999,641.0873333333327
2010-12,Australia,2,1032.85,516.425
2010-12,Spain,4,1843.73,460.9325
2010-12,Belgium,4,1809.9100000000012,452.4775000000003
2010-12,Portugal,6,2439.969999999999,406.66166666666646
2010-12,Italy,2,811.5000000000001,405.75000000000006
2010-12,"Channel Islands",1,363.53,363.53
2010-12,Austria,1,277.2,277.2
2010-12,Poland,1,248.16,248.16
2010-12,Bahrain,1,205.74,205.74
2011-01,Netherlands,2,26611.160000000007,13305.580000000004
2011-01,EIRE,2,21904.19,10952.095
2011-01,Greece,1,2661.24,2661.24
2011-01,"Hong Kong",1,2439.76,2439.76
2011-01,Singapore,1,2053.07,2053.07
2011-01,Sweden,2,3486.3199999999997,1743.1599999999999
2011-01,Lebanon,1,1693.88,1693.88
2011-01,Spain,7,10086.090000000004,1440.8700000000006
2011-01,Switzerland,3,4231.229999999998,1410.4099999999992
2011-01,Australia,7,9017.709999999995,1288.244285714285
2011-01,Portugal,4,4055.709999999999,1013.9274999999998
2011-01,"United Kingdom",648,561289.9800000055,866.1882407407492
2011-01,Italy,3,2402.5099999999993,800.8366666666665
2011-01,France,24,17740.120000000017,739.1716666666674
2011-01,"Channel Islands",1,675.58,675.58
2011-01,Poland,1,613.22,613.22
2011-01,Germany,28,16910.840000000033,603.9585714285726
2011-01,Cyprus,1,547.5,547.5
2011-01,Iceland,1,475.39,475.39
2011-01,Finland,2,889.02,444.51
2011-01,Belgium,3,1200.2,400.06666666666666
2011-01,Israel,1,379.84,379.84
2011-02,Netherlands,2,23011.910000000007,11505.955000000004
2011-02,EIRE,3,12248.740000000003,4082.9133333333343
2011-02,Australia,4,14695.419999999998,3673.8549999999996
2011-02,Japan,2,5780.8099999999995,2890.4049999999997
2011-02,"Channel Islands",1,1784.7099999999998,1784.7099999999998
2011-02,Cyprus,4,4334.239999999999,1083.5599999999997
2011-02,"United Arab Emirates",1,889.24,889.24
2011-02,Israel,1,779.1,779.1
2011-02,Switzerland,4,2654.9199999999996,663.7299999999999
2011-02,"United Kingdom",680,430027.9500000217,632.394044117679
2011-02,Portugal,2,1213.9,606.95
2011-02,Germany,17,9581.049999999994,563.5911764705879
2011-02,"Czech Republic",1,549.26,549.26
2011-02,Spain,4,2114.500000000002,528.6250000000005
2011-02,Sweden,1,509.5,509.5
2011-02,France,17,8515.959999999994,500.93882352941137
2011-02,Denmark,1,399.22,399.22
2011-02,Norway,2,630.9000000000001,315.45000000000005
