ym,country,cust_cnt,rev_total,ARPPU
2010-12,Netherlands,2,8784.48,4392.24
2010-12,Sweden,1,3834.3,3834.3
2010-12,Norway,1,3787.1199999999994,3787.1199999999994
2010-12,EIRE,3,8813.880000000003,2937.960000000001
2010-12,Japan,3,7705.07,2568.3566666666666
2010-12,Lithuania,1,1661.06,1661.06
2010-12,Cyprus,1,1590.82,1590.82
2010-12,Denmark,1,1281.5000000000002,1281.5000000000002
2010-12,Finland,1,892.8000000000001,892.8000000000001
2010-12,Germany,18,15241.139999999998,846.7299999999999
2010-12,Iceland,1,711.79,711.79
2010-12,Switzerland,2,1304.9199999999996,652.4599999999998
2010-12,France,15,9616.310000000005,641.0873333333336
2010-12,"United Kingdom",815,498661.85000002076,611.8550306748721
2010-12,Australia,2,1032.8500000000001,516.4250000000001
2010-12,Spain,4,1843.7299999999998,460.93249999999995
2010-12,Belgium,4,1809.9100000000012,452.4775000000003
2010-12,Portugal,6,2439.9699999999984,406.6616666666664
2010-12,Italy,2,811.5000000000001,405.75000000000006
2010-12,"Channel Islands",1,363.53,363.53
2010-12,Austria,1,277.2,277.2
2010-12,Poland,1,248.16,248.16
2011-01,Netherlands,2,26611.160000000003,13305.580000000002
2011-01,EIRE,2,21904.190000000002,10952.095000000001
2011-01,Greece,1,2661.24,2661.24
2011-01,Singapore,1,2053.07,2053.07
2011-01,Sweden,2,3486.3199999999997,1743.1599999999999
2011-01,Lebanon,1,1693.8800000000003,1693.8800000000003
2011-01,Spain,7,10086.09,1440.8700000000001
2011-01,Switzerland,3,4231.229999999998,1410.4099999999992
2011-01,Australia,7,9017.71,1288.2442857142855
2011-01,Portugal,4,4055.71,1013.9275
2011-01,Italy,3,2402.5099999999993,800.8366666666665
2011-01,France,24,17740.12000000001,739.1716666666671
2011-01,"United Kingdom",647,442190.060000019,683.4467697063662
2011-01,"Channel Islands",1,675.58,675.58
2011-01,Poland,1,613.22,613.22
2011-01,Germany,28,16910.840000000015,603.958571428572
2011-01,Cyprus,1,547.5,547.5
2011-01,Iceland,1,475.39,475.39
2011-01,Finland,2,889.02,444.51
2011-01,Belgium,3,1200.1999999999996,400.06666666666655
2011-02,Netherlands,2,23011.909999999996,11505.954999999998
2011-02,EIRE,2,10126.519999999991,5063.259999999996
2011-02,Australia,4,14695.420000000002,3673.8550000000005
2011-02,Japan,2,5780.8099999999995,2890.4049999999997
2011-02,"Channel Islands",1,1784.7099999999998,1784.7099999999998
2011-02,Cyprus,4,4334.240000000002,1083.5600000000004
2011-02,"United Arab Emirates",1,889.24,889.24
2011-02,Israel,1,779.1,779.1
2011-02,Switzerland,4,2654.9199999999996,663.7299999999999
2011-02,Portugal,2,1213.9,606.95
2011-02,Germany,17,9581.049999999997,563.591176470588
2011-02,"Czech Republic",1,549.26,549.26
2011-02,Spain,4,2114.500000000002,528.6250000000005
2011-02,"United Kingdom",679,355655.6300000085,523.7932695140037
2011-02,Sweden,1,509.5,509.5
2011-02,France,17,8515.959999999994,500.93882352941137
2011-02,Denmark,1,399.22,399.22
2011-02,Norway,2,630.9000000000001,315.45000000000005
2011-02,Belgium,7,2181.0700000000006,311.58142857142866
2011-02,Poland,2,604.0500000000001,302.02500000000003
2011-02,Austria,2,518.3599999999999,259.17999999999995
2011-02,Italy,1,256,256
2011-02,Finland,1,205.15999999999997,205.15999999999997
2011-02,"Saudi Arabia",1,145.92,145.92
2011-03,EIRE,3,21674.36000000006,7224.786666666686
2011-03,Finland,1,5936.820000000001,5936.820000000001
2011-03,Australia,3,17223.990000000013,5741.3300000000045
2011-03,Netherlands,4,22416.490000000005,5604.122500000001
2011-03,Denmark,1,3978.9899999999993,3978.9899999999993
2011-03,Sweden,2,4720.58,2360.29
2011-03,Norway,1,1265.31,1265.31
2011-03,"Channel Islands",3,3509.3300000000004,1169.7766666666669
2011-03,Cyprus,1,938.3900000000002,938.3900000000002
2011-03,France,17,14589.55000000001,858.2088235294124
2011-03,Austria,2,1708.12,854.06
2011-03,Spain,8,5363.150000000001,670.3937500000001
2011-03,Portugal,4,2660.8500000000017,665.2125000000004
2011-03,Switzerland,3,1870.2299999999998,623.41
2011-03,Italy,3,1806.8100000000004,602.2700000000001
2011-03,Germany,24,14392.689999999991,599.6954166666663
2011-03,"United Kingdom",880,467198.5900000167,530.9074886363826
2011-03,Belgium,8,3351.9799999999955,418.99749999999943
2011-03,Greece,1,387.31,387.31
2011-03,Poland,1,317.78,317.78
2011-03,Canada,1,140.54,140.54
2011-03,Japan,3,48.9,16.3
2011-04,Singapore,1,8209.580000000002,8209.580000000002
2011-04,EIRE,2,7570.499999999996,3785.249999999998
2011-04,Japan,2,6548.5,3274.25
2011-04,Netherlands,1,2976.5600000000004,2976.5600000000004
2011-04,Brazil,1,1143.6000000000001,1143.6000000000001
2011-04,Switzerland,2,2076.9399999999996,1038.4699999999998
2011-04,Portugal,2,1687.750000000001,843.8750000000005
2011-04,Poland,1,705.8399999999998,705.8399999999998
2011-04,Germany,19,12315.540000000006,648.1863157894741
2011-04,Iceland,1,636.25,636.25
2011-04,Greece,1,609.74,609.74
2011-04,Spain,3,1785.6500000000008,595.2166666666669
2011-04,"United Kingdom",784,409559.1410000135,522.3968635204254
2011-04,Finland,4,1688.9199999999996,422.2299999999999
2011-04,Sweden,2,809.1000000000001,404.55000000000007
2011-04,France,14,5529.609999999998,394.9721428571427
2011-04,Australia,2,771.6000000000001,385.80000000000007
2011-04,USA,1,383.95,383.95
2011-04,Italy,2,737.8299999999999,368.91499999999996
2011-04,Austria,2,680.78,340.39
2011-04,Belgium,6,1989.4800000000005,331.5800000000001
2011-04,Unspecified,1,299.1,299.1
2011-04,"Channel Islands",1,293,293
