ym,stockCode,description,cust_cnt,rev_total
2010-12,22423,"REGENCY CAKESTAND 3 TIER",120,27869.960000000017
2010-12,DOT,"DOTCOM POSTAGE",1,24671.190000000006
2010-12,AMAZONFEE,"AMAZON FEE",1,13541.33
2010-12,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",156,11234.220000000008
2010-12,84029E,"RED WOOLLY HOTTIE WHITE HEART.",83,9291.730000000003
2010-12,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",118,9225.8
2010-12,21479,"WHITE SKULL HOT WATER BOTTLE ",79,8228.73
2010-12,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",57,8126.8600000000015
2010-12,79321,"CHILLI LIGHTS",46,7506.440000000002
2010-12,22112,"CHOCOLATE HOT WATER BOTTLE",100,7327.1299999999965
2010-12,21623,"VINTAGE UNION JACK MEMOBOARD",26,6999.629999999997
2010-12,82484,"WOOD BLACK BOARD ANT WHITE FINISH",38,6848.070000000001
2010-12,84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",33,6739.660000000001
2010-12,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",64,6681.719999999997
2010-12,21137,"BLACK RECORD COVER FRAME",18,6294.539999999999
2010-12,22189,"CREAM HEART CARD HOLDER",23,5721.210000000001
2010-12,22111,"SCOTTIE DOG HOT WATER BOTTLE",116,5256.799999999996
2010-12,22188,"BLACK HEART CARD HOLDER",20,5200.140000000001
2010-12,22837,"HOT WATER BOTTLE BABUSHKA ",93,5167.71
2010-12,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",96,5019.369999999993
2010-12,22328,"ROUND SNACK BOXES SET OF 4 FRUITS ",30,4829.099999999997
2010-12,22834,"HAND WARMER BABUSHKA DESIGN",115,4679.8799999999965
2010-12,POST,POSTAGE,50,4430
2010-12,22752,"SET 7 BABUSHKA NESTING BOXES",41,4341.320000000002
2010-12,21258,"VICTORIAN SEWING BOX LARGE",31,4097.299999999999
2010-12,85099B,"JUMBO BAG RED RETROSPOT",78,4019.150000000001
2010-12,84879,"ASSORTED COLOUR BIRD ORNAMENT",85,3985.8699999999985
2010-12,22355,"CHARLOTTE BAG SUKI DESIGN",32,3600.81
2010-12,22867,"HAND WARMER BIRD DESIGN",85,3591.849999999996
2010-12,22835,"HOT WATER BOTTLE I AM SO POORLY",64,3554.01
2010-12,21485,"RETROSPOT HEART HOT WATER BOTTLE",89,3506.0899999999974
2010-12,22469,"HEART OF WICKER SMALL",95,3393.4500000000025
2010-12,22470,"HEART OF WICKER LARGE",93,3301.9199999999973
2010-12,84946,"ANTIQUE SILVER TEA GLASS ETCHED",53,3246.78
2010-12,22622,"BOX OF VINTAGE ALPHABET BLOCKS",28,3245.54
2010-12,21481,"FAWN BLUE HOT WATER BOTTLE",76,3205.6499999999983
2010-12,20685,"DOORMAT RED RETROSPOT",54,2982.360000000002
2010-12,82494L,"WOODEN FRAME ANTIQUE WHITE ",61,2971.9199999999983
2010-12,22654,"DELUXE SEWING KIT ",30,2859.1599999999985
2010-12,22659,"LUNCH BOX I LOVE LONDON",48,2783.620000000003
2010-12,22960,"JAM MAKING SET WITH JARS",69,2724.2800000000007
2010-12,21731,"RED TOADSTOOL LED NIGHT LIGHT",38,2706.810000000001
2010-12,22961,"JAM MAKING SET PRINTED",96,2692.840000000003
2010-12,21212,"PACK OF 72 RETROSPOT CAKE CASES",65,2681.5799999999986
2010-12,22197,"SMALL POPCORN HOLDER",66,2630.7900000000013
2010-12,22830,"UTILTY CABINET WITH HOOKS",4,2590.29
2010-12,21915,"RED  HARMONICA IN BOX ",39,2578.9200000000005
2010-12,22693,"GROW A FLYTRAP OR SUNFLOWER IN TIN",8,2509.01
2010-12,M,Manual,20,2480.26
2010-12,21484,"CHICK GREY HOT WATER BOTTLE",63,2436.459999999999
2010-12,22113,"GREY HEART HOT WATER BOTTLE",78,2430.909999999999
2010-12,21181,"PLEASE ONE PERSON METAL SIGN",62,2409.5400000000004
2010-12,22833,"HALL CABINET WITH 3 DRAWERS",3,2403.6299999999997
2010-12,21232,"STRAWBERRY CERAMIC TRINKET BOX",52,2197.06
2010-12,22457,"NATURAL SLATE HEART CHALKBOARD ",59,2176.910000000001
2010-12,21843,"RED RETROSPOT CAKE STAND",55,2142.000000000001
2010-12,21733,"RED HANGING HEART T-LIGHT HOLDER",74,2122.1200000000017
2010-12,22727,"ALARM CLOCK BAKELIKE RED ",55,2111.6599999999994
2010-12,22726,"ALARM CLOCK BAKELIKE GREEN",58,2090.849999999999
2010-12,22866,"HAND WARMER SCOTTY DOG DESIGN",67,2075.6700000000005
2010-12,22865,"HAND WARMER OWL DESIGN",64,2031.3700000000003
2010-12,22174,"PHOTO CUBE",25,2027.4399999999998
2010-12,21754,"HOME BUILDING BLOCK WORD",54,2018.7199999999996
2010-12,22625,"RED KITCHEN SCALES",39,1979.6200000000008
2010-12,71477,"COLOUR GLASS. STAR T-LIGHT HOLDER",26,1976.7699999999998
2010-12,22633,"HAND WARMER UNION JACK",62,1957.059999999999
2010-12,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",39,1864.1500000000005
2010-12,22943,"CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",39,1845.3600000000008
2010-12,22655,"VINTAGE RED KITCHEN CABINET",6,1840
2010-12,22969,"HOMEMADE JAM SCENTED CANDLES",58,1832.9000000000005
2010-12,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",43,1827.4100000000003
2010-12,22632,"HAND WARMER RED RETROSPOT",57,1802.5500000000006
2010-12,22110,"BIRD HOUSE HOT WATER BOTTLE",22,1801.9199999999994
2010-12,22178,"VICTORIAN GLASS HANGING T-LIGHT",39,1801.6299999999994
2010-12,22779,"WOODEN OWLS LIGHT GARLAND ",16,1794.29
2010-12,21523,"DOORMAT FANCY FONT HOME SWEET HOME",30,1781.7300000000007
2010-12,22083,"PAPER CHAIN KIT RETROSPOT",35,1764.2600000000007
2010-12,82486,"WOOD S/3 CABINET ANT WHITE FINISH",40,1747.4000000000008
2010-12,48138,"DOORMAT UNION FLAG",46,1709.2200000000005
2010-12,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",13,1701.5900000000001
2010-12,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",43,1698.0200000000004
2010-12,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",34,1679.1700000000012
2010-12,22629,"SPACEBOY LUNCH BOX ",41,1673.7000000000007
2010-12,84030E,"ENGLISH ROSE HOT WATER BOTTLE",46,1637.8900000000003
2010-12,20719,"WOODLAND CHARLOTTE BAG",22,1620.5999999999997
2010-12,22492,"MINI PAINT SET VINTAGE ",25,1616.7999999999997
2010-12,22697,"GREEN REGENCY TEACUP AND SAUCER",32,1614.6200000000013
2010-12,22198,"LARGE POPCORN HOLDER ",35,1585.0800000000008
