ym,stockCode,description,cust_cnt,rev_total
2010-12,22423,"REGENCY CAKESTAND 3 TIER",119,17756.700000000004
2010-12,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",155,9602.050000000001
2010-12,21623,"VINTAGE UNION JACK MEMOBOARD",25,6938.489999999995
2010-12,82484,"WOOD BLACK BOARD ANT WHITE FINISH",37,6685.2300000000005
2010-12,21137,"BLACK RECORD COVER FRAME",17,6248.820000000001
2010-12,79321,"CHILLI LIGHTS",45,6199.340000000002
2010-12,22189,"CREAM HEART CARD HOLDER",22,5536.58
2010-12,22188,"BLACK HEART CARD HOLDER",19,5157.790000000001
2010-12,22328,"ROUND SNACK BOXES SET OF 4 FRUITS ",29,4769.999999999996
2010-12,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",117,4614.149999999993
2010-12,22112,"CHOCOLATE HOT WATER BOTTLE",99,4430.849999999996
2010-12,POST,POSTAGE,50,4430
2010-12,22837,"HOT WATER BOTTLE BABUSHKA ",92,4176.949999999999
2010-12,22834,"HAND WARMER BABUSHKA DESIGN",114,4172.699999999998
2010-12,84029E,"RED WOOLLY HOTTIE WHITE HEART.",82,4005.6900000000014
2010-12,22752,"SET 7 BABUSHKA NESTING BOXES",40,3916.7999999999997
2010-12,22111,"SCOTTIE DOG HOT WATER BOTTLE",115,3908.8499999999985
2010-12,84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",32,3777.900000000001
2010-12,84879,"ASSORTED COLOUR BIRD ORNAMENT",84,3666.1099999999974
2010-12,85099B,"JUMBO BAG RED RETROSPOT",77,3619.2
2010-12,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",95,3246.2999999999984
2010-12,22470,"HEART OF WICKER LARGE",92,3130.5299999999984
2010-12,22867,"HAND WARMER BIRD DESIGN",84,2877.599999999997
2010-12,22622,"BOX OF VINTAGE ALPHABET BLOCKS",27,2863.4000000000005
2010-12,21485,"RETROSPOT HEART HOT WATER BOTTLE",88,2677.9500000000003
2010-12,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",63,2662.0500000000006
2010-12,22469,"HEART OF WICKER SMALL",94,2613.6600000000017
2010-12,22830,"UTILTY CABINET WITH HOOKS",4,2590.2900000000004
2010-12,21479,"WHITE SKULL HOT WATER BOTTLE ",78,2578.35
2010-12,20685,"DOORMAT RED RETROSPOT",53,2526.150000000001
2010-12,21731,"RED TOADSTOOL LED NIGHT LIGHT",37,2518.6499999999996
2010-12,22693,"GROW A FLYTRAP OR SUNFLOWER IN TIN",7,2507.76
2010-12,22659,"LUNCH BOX I LOVE LONDON",47,2490.600000000001
2010-12,21915,"RED  HARMONICA IN BOX ",38,2429.66
2010-12,22833,"HALL CABINET WITH 3 DRAWERS",2,2403.6299999999997
2010-12,21258,"VICTORIAN SEWING BOX LARGE",30,2261.999999999999
2010-12,22113,"GREY HEART HOT WATER BOTTLE",77,2216.91
2010-12,21843,"RED RETROSPOT CAKE STAND",55,2142
2010-12,21181,"PLEASE ONE PERSON METAL SIGN",61,2100.12
2010-12,22961,"JAM MAKING SET PRINTED",95,2077.150000000002
2010-12,22960,"JAM MAKING SET WITH JARS",68,2048.25
2010-12,21733,"RED HANGING HEART T-LIGHT HOLDER",73,1989.150000000001
2010-12,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",56,1870.9499999999998
2010-12,22633,"HAND WARMER UNION JACK",61,1862.3999999999996
2010-12,22655,"VINTAGE RED KITCHEN CABINET",6,1840
2010-12,22779,"WOODEN OWLS LIGHT GARLAND ",16,1794.29
2010-12,22865,"HAND WARMER OWL DESIGN",63,1790.7000000000003
2010-12,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",42,1789.25
2010-12,21481,"FAWN BLUE HOT WATER BOTTLE",75,1779.850000000002
2010-12,71477,"COLOUR GLASS. STAR T-LIGHT HOLDER",25,1771.5
2010-12,22835,"HOT WATER BOTTLE I AM SO POORLY",63,1770.1499999999992
2010-12,82494L,"WOODEN FRAME ANTIQUE WHITE ",60,1742.6000000000008
2010-12,22866,"HAND WARMER SCOTTY DOG DESIGN",66,1724.4
2010-12,22632,"HAND WARMER RED RETROSPOT",56,1674.3000000000004
2010-12,82486,"WOOD S/3 CABINET ANT WHITE FINISH",39,1666.7500000000005
2010-12,22197,"SMALL POPCORN HOLDER",65,1645.8200000000006
2010-12,21212,"PACK OF 72 RETROSPOT CAKE CASES",64,1642.7600000000011
2010-12,22727,"ALARM CLOCK BAKELIKE RED ",54,1638.75
2010-12,22492,"MINI PAINT SET VINTAGE ",24,1600.2
2010-12,21754,"HOME BUILDING BLOCK WORD",53,1591.3999999999999
2010-12,22174,"PHOTO CUBE",24,1583.0099999999998
2010-12,21232,"STRAWBERRY CERAMIC TRINKET BOX",51,1569.17
2010-12,48138,"DOORMAT UNION FLAG",45,1569.1500000000008
2010-12,22726,"ALARM CLOCK BAKELIKE GREEN",57,1567.5
2010-12,84946,"ANTIQUE SILVER TEA GLASS ETCHED",52,1544.31
2010-12,22629,"SPACEBOY LUNCH BOX ",40,1535.4
2010-12,22969,"HOMEMADE JAM SCENTED CANDLES",57,1525.8000000000004
2010-12,22558,"CLOTHES PEGS RETROSPOT PACK 24 ",50,1522.7200000000012
2010-12,22466,"FAIRY TALE COTTAGE NIGHTLIGHT",12,1502.7000000000003
2010-12,21484,"CHICK GREY HOT WATER BOTTLE",62,1491.0000000000007
2010-12,22943,"CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",38,1487.3000000000006
2010-12,22780,"LIGHT GARLAND BUTTERFILES PINK",7,1482.54
2010-12,35004C,"SET OF 3 COLOURED  FLYING DUCKS",16,1452.35
2010-12,85099C,"JUMBO  BAG BAROQUE BLACK WHITE",38,1441.2
2010-12,84949,"SILVER HANGING T-LIGHT HOLDER",25,1434.6000000000001
2010-12,22178,"VICTORIAN GLASS HANGING T-LIGHT",38,1405.05
2010-12,22457,"NATURAL SLATE HEART CHALKBOARD ",58,1402.700000000001
2010-12,51008,"AFGHAN SLIPPER SOCK PAIR",7,1383.5
2010-12,22326,"ROUND SNACK BOXES SET OF4 WOODLAND ",33,1353.950000000001
2010-12,22585,"PACK OF 6 BIRDY GIFT TAGS",45,1320.42
2010-12,20750,"RED RETROSPOT MINI CASES",32,1299.9
2010-12,22158,"3 HEARTS HANGING DECORATION RUSTIC",41,1291.0500000000002
2010-12,85232B,"SET OF 3 BABUSHKA STACKING TINS",6,1282.05
2010-12,21527,"RED RETROSPOT TRADITIONAL TEAPOT ",41,1279.65
2010-12,21928,"JUMBO BAG SCANDINAVIAN PAISLEY",28,1273.5000000000002
2010-12,21791,"VINTAGE HEADS AND TAILS CARD GAME ",43,1269.3799999999999
2010-12,20914,"SET/5 RED RETROSPOT LID GLASS BOWLS",47,1266.9000000000003
2010-12,85152,"HAND OVER THE CHOCOLATE   SIGN ",40,1249.6800000000007
2010-12,22988,"SOLDIERS EGG CUP ",48,1243.08
2010-12,85150,"LADIES & GENTLEMEN METAL SIGN",38,1232.6699999999992
2010-12,22625,"RED KITCHEN SCALES",38,1232.5
2010-12,84050,"PINK HEART SHAPE EGG FRYING PAN",20,1231.1999999999998
2010-12,82482,"WOODEN PICTURE FRAME WHITE FINISH",46,1213.9499999999998
2010-12,22467,"GUMBALL COAT RACK",33,1155.4499999999998
2010-12,84077,"WORLD WAR 2 GLIDERS ASSTD DESIGNS",25,1150.47
2010-12,21523,"DOORMAT FANCY FONT HOME SWEET HOME",29,1136.1
2010-12,22198,"LARGE POPCORN HOLDER ",34,1121.3999999999992
2010-12,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",42,1117.3500000000001
2010-12,22728,"ALARM CLOCK BAKELIKE PINK",41,1110
2010-12,84030E,"ENGLISH ROSE HOT WATER BOTTLE",45,1096
2010-12,22699,"ROSES REGENCY TEACUP AND SAUCER ",35,1087.7000000000003
2010-12,21259,"VICTORIAN SEWING BOX SMALL ",32,1070.1999999999998
2010-12,22041,"RECORD FRAME 7" SINGLE SIZE "",15,1069.0500000000002
2010-12,84945,"MULTI COLOUR SILVER T-LIGHT HOLDER",28,1067.5200000000002
2010-12,15056BL,"EDWARDIAN PARASOL BLACK",22,1064.8500000000001
2010-12,22507,"MEMO BOARD RETROSPOT  DESIGN",15,1060.2799999999997
2010-12,20725,"LUNCH BAG RED RETROSPOT",51,1057.1999999999996
2010-12,22083,"PAPER CHAIN KIT RETROSPOT",34,1052.3500000000006
2010-12,84950,"ASSORTED COLOUR T-LIGHT HOLDER",5,1042.2
2010-12,21166,"COOK WITH WINE METAL SIGN ",46,1036.9799999999998
2010-12,22941,"CHRISTMAS LIGHTS 10 REINDEER",39,1033.6
2010-12,22624,"IVORY KITCHEN SCALES",44,1031.9
2010-12,20749,"ASSORTED COLOUR MINI CASES",31,1024.9499999999998
2010-12,22555,"PLASTERS IN TIN STRONGMAN",35,1016.9999999999998
2010-12,22968,"ROSE COTTAGE KEEPSAKE BOX ",27,1013.2999999999998
2010-12,22720,"SET OF 3 CAKE TINS PANTRY DESIGN ",45,1011.6000000000007
2010-12,22504,"CABIN BAG VINTAGE RETROSPOT",11,1004.5999999999999
2010-12,22666,"RECIPE BOX PANTRY YELLOW DESIGN",50,1003.6500000000005
2010-12,22654,"DELUXE SEWING KIT ",29,1001.2500000000002
2010-12,22656,"VINTAGE BLUE KITCHEN CABINET",4,1000
2010-12,48187,"DOORMAT NEW ENGLAND",26,997.0500000000001
2010-12,22077,"6 RIBBONS RUSTIC CHARM",49,990.8999999999992
2010-12,22697,"GREEN REGENCY TEACUP AND SAUCER",31,982.2500000000005
2010-12,84078A,"SET/4 WHITE RETRO STORAGE CUBES ",2,978.6000000000001
2010-12,48194,"DOORMAT HEARTS",26,973.2000000000002
2010-12,22569,"FELTCRAFT CUSHION BUTTERFLY",42,956.58
2010-12,22803,"IVORY EMBROIDERED QUILT ",5,946.3000000000001
2010-12,22568,"FELTCRAFT CUSHION OWL",47,936.69
2010-12,22383,"LUNCH BAG SUKI  DESIGN ",41,935.1499999999999
2010-12,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",22,931.6
2010-12,22795,"SWEETHEART RECIPE BOOK STAND",27,927.55
2010-12,84997B,"RED 3 PIECE RETROSPOT CUTLERY SET",27,904.08
2010-12,21524,"DOORMAT SPOTTY HOME SWEET HOME",28,897.7499999999998
2010-12,21929,"JUMBO BAG PINK VINTAGE PAISLEY",26,884.9999999999999
2010-12,22570,"FELTCRAFT CUSHION RABBIT",47,875.22
2010-12,84997D,"PINK 3 PIECE POLKADOT CUTLERY SET",29,874.08
2010-12,20713,"JUMBO BAG OWLS",32,850.6500000000002
2010-12,48116,"DOORMAT MULTICOLOUR STRIPE",14,849.9
2010-12,72351B,"SET/6 PINK  BUTTERFLY T-LIGHTS",14,847.8000000000002
2010-12,48184,"DOORMAT ENGLISH ROSE ",19,834.1500000000001
2010-12,84406B,"CREAM CUPID HEARTS COAT HANGER",24,833.75
2010-12,22722,"SET OF 6 SPICE TINS PANTRY DESIGN",30,826.8499999999999
2010-12,84375,"SET OF 20 KIDS COOKIE CUTTERS",31,819.3000000000001
2010-12,22630,"DOLLY GIRL LUNCH BOX",38,816.2999999999997
2010-12,22386,"JUMBO BAG PINK POLKADOT",34,815.5500000000002
2010-12,21314,"SMALL GLASS HEART TRINKET POT",21,814.4999999999999
2010-12,22617,"BAKING SET SPACEBOY DESIGN",26,809.7000000000002
2010-12,20679,"EDWARDIAN PARASOL RED",18,808.8499999999999
2010-12,22634,"CHILDS BREAKFAST SET SPACEBOY ",26,806.0000000000001
2010-12,21931,"JUMBO STORAGE BAG SUKI",45,802.6500000000001
2010-12,22667,"RECIPE BOX RETROSPOT ",47,800.9000000000002
2010-12,22940,"FELTCRAFT CHRISTMAS FAIRY",46,794.75
2010-12,47566,"PARTY BUNTING",22,793.5
2010-12,21210,"SET OF 72 RETROSPOT PAPER  DOILIES",27,790.25
2010-12,85064,"CREAM SWEETHEART LETTER RACK",14,789.7499999999999
2010-12,84823,"DANISH ROSE FOLDING CHAIR",20,779.0999999999997
2010-12,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",36,778.8000000000001
2010-12,85099F,"JUMBO BAG STRAWBERRY",28,778.5000000000001
2010-12,20726,"LUNCH BAG WOODLAND",38,765.1999999999999
2010-12,21755,"LOVE BUILDING BLOCK WORD",36,764.5000000000002
2010-12,22730,"ALARM CLOCK BAKELIKE IVORY",34,761.25
2010-12,22619,"SET OF 6 SOLDIER SKITTLES",25,758.7
2010-12,22900," SET 2 TEA TOWELS I LOVE LONDON ",37,758.15
2010-12,85066,"CREAM SWEETHEART MINI CHEST",18,752.25
2010-12,84997A,"GREEN 3 PIECE POLKADOT CUTLERY SET",25,742.83
2010-12,22847,"BREAD BIN DINER STYLE IVORY",12,741.5999999999999
2010-12,82583,"HOT BATHS METAL SIGN",21,740.94
2010-12,22966,"GINGERBREAD MAN COOKIE CUTTER",41,733.74
2010-12,20727,"LUNCH BAG  BLACK SKULL.",39,733.35
2010-12,84991,"60 TEATIME FAIRY CAKE CASES",46,733.1500000000001
2010-12,22551,"PLASTERS IN TIN SPACEBOY",44,729.3
2010-12,82600,"NO SINGING METAL SIGN",31,727.7400000000002
2010-12,15056N,"EDWARDIAN PARASOL NATURAL",24,724.2000000000002
2010-12,21914,"BLUE HARMONICA IN BOX ",33,723.75
2010-12,71053,"WHITE METAL LANTERN",15,722.5499999999998
2010-12,22652,"TRAVEL SEWING KIT",44,719.3999999999996
2010-12,22616,"PACK OF 12 LONDON TISSUES ",36,718.4000000000002
2010-12,21231,"SWEETHEART CERAMIC TRINKET BOX",34,717.71
2010-12,20728,"LUNCH BAG CARS BLUE",34,714.0500000000001
2010-12,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",36,713.97
2010-12,22776,"SWEETHEART CAKESTAND 3 TIER",26,713.9499999999999
2010-12,21463,"MIRRORED DISCO BALL ",14,710.3000000000001
2010-12,72741,"GRAND CHOCOLATECANDLE",30,709.25
2010-12,22294,"HEART FILIGREE DOVE  SMALL",26,705.44
2010-12,22560,"TRADITIONAL MODELLING CLAY",28,704.26
2010-12,22382,"LUNCH BAG SPACEBOY DESIGN ",40,694.2499999999999
2010-12,22791,"T-LIGHT GLASS FLUTED ANTIQUE",28,692.71
2010-12,22768,"FAMILY PHOTO FRAME CORNICE",18,689.8999999999999
2010-12,21930,"JUMBO STORAGE BAG SKULLS",29,688.7999999999998
2010-12,37449,"CERAMIC CAKE STAND + HANGING CAKES",20,688.2499999999999
2010-12,22502,"PICNIC BASKET WICKER SMALL",22,683.8499999999999
2010-12,22782,"SET 3 WICKER STORAGE BASKETS ",9,676.5999999999999
2010-12,84992,"72 SWEETHEART FAIRY CAKE CASES",33,674.65
2010-12,21175,"GIN + TONIC DIET METAL SIGN",38,669.9000000000001
2010-12,22556,"PLASTERS IN TIN CIRCUS PARADE ",40,669.8999999999996
2010-12,22169,"FAMILY ALBUM WHITE PICTURE FRAME",15,660.45
2010-12,85048,"15CM CHRISTMAS GLASS BALL 20 LIGHTS",23,655.8
2010-12,21790,"VINTAGE SNAP CARDS",43,651.8899999999999
2010-12,22109,"FULL ENGLISH BREAKFAST PLATE",18,649.6800000000001
2010-12,22909,"SET OF 20 VINTAGE CHRISTMAS NAPKINS",63,645.3900000000002
2010-12,84997C,"BLUE 3 PIECE POLKADOT CUTLERY SET",25,645.33
2010-12,21889,"WOODEN BOX OF DOMINOES",35,643.96
2010-12,84836,"ZINC METAL HEART DECORATION",37,631.25
2010-12,22729,"ALARM CLOCK BAKELIKE ORANGE",33,630
2010-12,22750,"FELTCRAFT PRINCESS LOLA DOLL",35,620.22
2010-12,21326,"AGED GLASS SILVER T-LIGHT HOLDER",36,611.1999999999999
2010-12,22554,"PLASTERS IN TIN WOODLAND ANIMALS",33,608.8499999999997
2010-12,21769,"VINTAGE POST OFFICE CABINET",2,607.6500000000001
2010-12,21535,"RED RETROSPOT SMALL MILK JUG",6,600.3
2010-12,21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",42,598.27
2010-12,21833,"CAMOUFLAGE LED TORCH",12,598.0199999999999
2010-12,22952,"60 CAKE CASES VINTAGE CHRISTMAS",51,597.25
2010-12,21121,"SET/10 RED POLKADOT PARTY CANDLES",17,596.53
2010-12,22635,"CHILDS BREAKFAST SET DOLLY GIRL ",23,592.05
2010-12,22147,"FELTCRAFT BUTTERFLY HEARTS",39,591.1499999999995
2010-12,22295,"HEART FILIGREE DOVE LARGE",20,589.3499999999999
2010-12,22355,"CHARLOTTE BAG SUKI DESIGN",31,588.8
2010-12,22379,"RECYCLING BAG RETROSPOT ",24,584.1000000000001
2010-12,22378,"WALL TIDY RETROSPOT ",14,579.3000000000001
2010-12,21430,"SET/3 RED GINGHAM ROSE STORAGE BOX",23,577.86
2010-12,22075,"6 RIBBONS ELEGANT CHRISTMAS ",17,576.1499999999999
2010-12,22798,"ANTIQUE GLASS DRESSING TABLE POT",26,575.2500000000001
2010-12,21844,"RED RETROSPOT MUG",13,570.75
2010-12,22646,"CERAMIC STRAWBERRY CAKE MONEY BANK",28,568.6999999999999
2010-12,22694,"WICKER STAR ",48,567
2010-12,84880,"WHITE WIRE EGG HOLDER",8,558.6
2010-12,21122,"SET/10 PINK POLKADOT PARTY CANDLES",15,556.53
2010-12,22804,"CANDLEHOLDER PINK HANGING HEART",34,550.65
2010-12,85035B,"CHOCOLATE 3 WICK MORRIS BOX CANDLE",11,550.25
2010-12,C2,CARRIAGE,5,550
2010-12,21213,"PACK OF 72 SKULL CAKE CASES",27,546.9000000000001
2010-12,21621,"VINTAGE UNION JACK BUNTING",19,544
2010-12,22553,"PLASTERS IN TIN SKULLS",38,542.8499999999997
2010-12,22890,"NOVELTY BISCUITS CAKE STAND 3 TIER",13,542.3
2010-12,20712,"JUMBO BAG WOODLAND ANIMALS",19,539.4000000000001
2010-12,21870,"I CAN ONLY PLEASE ONE PERSON MUG",28,538.89
2010-12,22926,"IVORY GIANT GARDEN THERMOMETER",28,535.4999999999998
2010-12,85035C,"ROSE 3 WICK MORRIS BOX CANDLE",13,531
2010-12,21110,"LARGE CAKE TOWEL PINK SPOTS",19,529.6500000000001
2010-12,21112,"SWISS ROLL TOWEL, PINK  SPOTS",14,529.65
2010-12,22275,"WEEKEND BAG VINTAGE ROSE PAISLEY",1,527.85
2010-12,22848,"BREAD BIN DINER STYLE PINK",10,524.3
2010-12,21908,"CHOCOLATE THIS WAY METAL SIGN",24,521.4
2010-12,37370,"RETRO COFFEE MUGS ASSORTED",18,518.2200000000001
2010-12,22810,"SET OF 6 T-LIGHTS SNOWMEN",27,514.7499999999999
2010-12,22536,"MAGIC DRAWING SLATE PURDEY",19,513.2999999999998
2010-12,22557,"PLASTERS IN TIN VINTAGE PAISLEY ",43,513.15
2010-12,22974,"CHILDRENS DOLLY GIRL MUG",20,512.7
2010-12,62018,"SOMBRERO ",4,509.75
2010-12,22149,"FELTCRAFT 6 FLOWER FRIENDS",39,508.7000000000002
2010-12,48111,"DOORMAT 3 SMILEY CATS",18,508.4999999999999
2010-12,71459,"HANGING JAM JAR T-LIGHT HOLDER",6,506.5199999999999
2010-12,47567B,"TEA TIME KITCHEN APRON",18,506.20000000000005
2010-12,22800,"ANTIQUE TALL SWIRLGLASS TRINKET POT",22,502.5
2010-12,22846,"BREAD BIN DINER STYLE RED ",12,502.4
