ym,StockCode,Description,user_type,cust_cnt,rev
2010-12,84212,"ASSORTED FLOWER COLOUR "LEIS"""",old_user,4,233.4
2010-12,84228,"HEN HOUSE W CHICK STANDING",old_user,1,10.1
2010-12,84247E,"PACK/12 XMAS FUN CARD",old_user,7,59
2010-12,84247G,"DECOUPAGE,GREETING CARD,",old_user,4,35.3
2010-12,84247K,"FOLK ART GREETING CARD,pack/12",old_user,1,3
2010-12,84247L,"FAWN AND MUSHROOM GREETING CARD",old_user,1,5
2010-12,84247N,"PACK/12 BLUE FOLKART CARDS",old_user,3,8.9
2010-12,84249A,"GREETING CARD,SQUARE, DOUGHNUTS",old_user,1,5
2010-12,84279P,"CHERRY BLOSSOM  DECORATIVE FLASK",old_user,3,63.2
2010-12,84313B,"BLUE TV TRAY TABLE ",old_user,1,8.5
2010-12,84313C,"ORANGE TV TRAY TABLE ",old_user,1,4.2
2010-12,84341B,"SMALL PINK MAGIC CHRISTMAS TREE",old_user,9,31.4
2010-12,84347,"ROTATING SILVER ANGELS T-LIGHT HLDR",old_user,32,3777.9
2010-12,84352,"SILVER CHRISTMAS TREE BAUBLE STAND ",old_user,6,195.4
2010-12,84356,"POMPOM CURTAIN",old_user,4,114.5
2010-12,84358,"FLOOR LAMP SHADE WOOD BASE",old_user,2,29.8
2010-12,84360,"TABLE LAMP WHITE SHADE WOOD BASE",old_user,4,203.1
2010-12,84375,"SET OF 20 KIDS COOKIE CUTTERS",old_user,31,819.3
2010-12,84378,"SET OF 3 HEART COOKIE CUTTERS",old_user,28,267.5
2010-12,84380,"SET OF 3 BUTTERFLY COOKIE CUTTERS",old_user,20,345.1
2010-12,84388,"WISE MAN STAR SHAPE EGG PAN",old_user,2,3.3
2010-12,84406B,"CREAM CUPID HEARTS COAT HANGER",old_user,24,833.8
2010-12,84415B,"BLUE FLOCK CUSHION COVER ",old_user,1,7.5
2010-12,84457,"SET/3 RABBITS FLOWER SKIPPPING ROPE",old_user,1,10.2
2010-12,84459A,"PINK METAL CHICKEN HEART ",old_user,1,240
2010-12,84459B,"YELLOW METAL CHICKEN HEART ",old_user,2,243
2010-12,84497,"BUTTONS AND STRIPES NOTEBOOK ",old_user,2,11.2
2010-12,84499,"BLACK FLOWER CANDLE PLATE",old_user,1,0.8
2010-12,84507B,"STRIPES DESIGN MONKEY DOLL",old_user,1,7.6
2010-12,84507C,"BLUE CIRCLES DESIGN MONKEY DOLL",old_user,3,15.3
2010-12,84508A,"CAMOUFLAGE DESIGN TEDDY",old_user,4,211.8
2010-12,84508B,"STRIPES DESIGN TEDDY",old_user,4,20.4
2010-12,84508C,"BLUE CIRCLES DESIGN TEDDY",old_user,1,10.2
2010-12,84509A,"SET OF 4 ENGLISH ROSE PLACEMATS",old_user,8,82.5
2010-12,84509B,"SET OF 4 FAIRY CAKE PLACEMATS",old_user,3,26.2
2010-12,84509C,"SET OF 4 POLKADOT PLACEMATS ",old_user,1,3.8
2010-12,84509E,"SET OF 4 CAROUSEL PLACEMATS ",old_user,1,30
2010-12,84509G,"SET OF 4 FAIRY CAKE PLACEMATS ",old_user,6,150
2010-12,84510A,"SET OF 4 ENGLISH ROSE COASTERS",old_user,6,38.8
2010-12,84519A,"TOMATO CHARLIE+LOLA COASTER SET",old_user,3,107.7
2010-12,84519B,"CARROT CHARLIE+LOLA COASTER SET",old_user,2,35.9
2010-12,84520B,"PACK 20 ENGLISH ROSE PAPER NAPKINS",old_user,16,113
2010-12,84522,"PINK PARTY SUNGLASSES",old_user,1,2
2010-12,84531A,"PINK KNITTED EGG COSY",old_user,2,11.7
2010-12,84531B,"BLUE KNITTED EGG COSY",old_user,2,9.8
2010-12,84534B,"FAIRY CAKE NOTEBOOK A5 SIZE",old_user,4,38.2
2010-12,84535B,"FAIRY CAKES NOTEBOOK A6 SIZE",old_user,7,38.4
2010-12,84536A,"ENGLISH ROSE NOTEBOOK A7 SIZE",old_user,12,51.2
