ym,yearweek,user_type,cust_cnt,order_cnt,rev_total
2010-12,201048,new_user,234,315,117614.72999999825
2010-12,201049,new_user,427,533,227913.5500000012
2010-12,201050,new_user,361,426,173659.11
2010-12,201051,new_user,99,126,53526.49999999991
2011-01,201101,new_user,68,69,39177.88
2011-01,201101,old_user,95,107,59909.18999999977
2011-01,201102,new_user,117,124,66563.57999999981
2011-01,201102,old_user,117,132,96687.49999999996
2011-01,201103,new_user,90,95,117622.54000000007
2011-01,201103,old_user,93,109,54977.249999999854
2011-01,201104,new_user,141,146,59847.34000000001
2011-01,201104,old_user,108,124,49225.93000000017
2011-01,201105,new_user,34,36,9996.009999999991
2011-01,201105,old_user,38,45,15437.820000000016
2011-02,201105,new_user,93,95,32403.560000000132
2011-02,201105,old_user,99,109,51416.479999999836
2011-02,201106,new_user,67,67,25363.13000000002
2011-02,201106,old_user,108,122,60395.76999999993
2011-02,201107,new_user,91,95,36365.42000000022
2011-02,201107,old_user,140,166,85773.91999999958
2011-02,201108,new_user,117,122,50363.91999999978
2011-02,201108,old_user,122,138,80421.62999999987
2011-02,201109,new_user,42,44,13646.040000000017
2011-02,201109,old_user,37,40,10987.48
2011-03,201109,new_user,80,85,35986.5700000001
2011-03,201109,old_user,94,105,56509.80999999998
2011-03,201110,new_user,101,110,47416.32000000011
2011-03,201110,old_user,137,169,70770.97999999976
2011-03,201111,new_user,90,94,41131.63999999997
2011-03,201111,old_user,139,169,81210.49999999955
2011-03,201112,new_user,116,124,42386.00000000015
2011-03,201112,old_user,173,201,98392.82999999874
2011-03,201113,new_user,83,87,33149.43000000018
2011-03,201113,old_user,158,177,88546.67999999975
2011-04,201113,new_user,16,16,6638.200000000001
2011-04,201113,old_user,43,52,17948.620000000028
2011-04,201114,new_user,86,90,26866.060000000096
2011-04,201114,old_user,169,192,90100.37999999934
2011-04,201115,new_user,99,105,45624.37099999993
2011-04,201115,old_user,196,229,86706.30999999939
2011-04,201116,new_user,81,84,29520.27000000008
2011-04,201116,old_user,177,206,99295.24999999945
2011-04,201117,new_user,41,44,13362.590000000015
2011-04,201117,old_user,113,131,53138.30999999995
2011-05,201118,new_user,62,67,18658.300000000025
2011-05,201118,old_user,191,231,100777.14000000012
2011-05,201119,new_user,84,91,46681.73000000002
2011-05,201119,old_user,252,329,141355.86999999912
2011-05,201120,new_user,69,72,23718.799999999967
2011-05,201120,old_user,253,326,158000.07999999967
2011-05,201121,new_user,70,79,30535.700000000077
2011-05,201121,old_user,228,285,133277.98999999923
2011-05,201122,new_user,17,19,4509.249999999996
2011-05,201122,old_user,51,56,21079.700000000026
2011-06,201122,new_user,26,27,8678.409999999993
2011-06,201122,old_user,78,93,49859.30000000012
2011-06,201123,new_user,67,71,70046.90999999986
2011-06,201123,old_user,288,331,137139.49999999878
2011-06,201124,new_user,57,60,17399.539999999986
2011-06,201124,old_user,209,259,144570.78999999852
2011-06,201125,new_user,69,74,28374.490000000038
2011-06,201125,old_user,225,264,99804.01999999954
2011-06,201126,new_user,34,38,11243.600000000006
2011-06,201126,old_user,143,176,94097.12999999992
2011-07,201126,new_user,5,5,1284.0600000000002
2011-07,201126,old_user,30,37,10905.229999999983
2011-07,201127,new_user,45,51,16553.369999999988
2011-07,201127,old_user,228,260,114868.88999999953
2011-07,201128,new_user,43,44,16143.230000000007
2011-07,201128,old_user,197,235,91189.9199999994
2011-07,201129,new_user,44,46,16422.519999999982
2011-07,201129,old_user,232,272,141258.9699999995
2011-07,201130,new_user,58,59,20479.60100000006
2011-07,201130,old_user,238,281,137591.92999999912
2011-07,201131,new_user,4,5,2012.3399999999997
2011-07,201131,old_user,20,23,9231.869999999984
