date,user_cnt
2008-01-01,2512
2008-01-02,2175
2008-01-03,2079
2008-01-04,2188
2008-01-05,2424
2008-01-06,2491
2008-01-07,2238
2008-01-08,2191
2008-01-09,2216
2008-01-10,1953
2008-01-11,2274
2008-01-12,2497
2008-01-13,2571
2008-01-14,2224
2008-01-15,2273
2008-01-16,2297
2008-01-17,2127
2008-01-18,2375
2008-01-19,2474
2008-01-20,2592
2008-01-21,2313
2008-01-22,2364
2008-01-23,2355
2008-01-24,1589
2008-01-25,2306
2008-01-26,2610
2008-01-27,2658
2008-01-28,2352
2008-01-29,2343
2008-01-30,2318
2008-01-31,2104
2008-02-01,2228
2008-02-02,2455
2008-02-03,2535
2008-02-04,2266
2008-02-05,2326
2008-02-06,2230
2008-02-07,1960
2008-02-08,2158
2008-02-09,2156
2008-02-10,2313
2008-02-11,2461
2008-02-12,2244
2008-02-13,2304
2008-02-14,2070
2008-02-15,2257
2008-02-16,2487
2008-02-17,2560
2008-02-18,2318
2008-02-19,2236
2008-02-20,2266
2008-02-21,2072
2008-02-22,2231
2008-02-23,2510
2008-02-24,2647
2008-02-25,2257
2008-02-26,2333
2008-02-27,2278
2008-02-28,2422
2008-02-29,2329
2008-03-01,2562
2008-03-02,2365
2008-03-03,2238
2008-03-04,2165
2008-03-05,2269
2008-03-06,2086
2008-03-07,2243
2008-03-08,2491
2008-03-09,2617
2008-03-10,2213
2008-03-11,2184
2008-03-12,2242
2008-03-13,2105
2008-03-14,2330
2008-03-15,2510
2008-03-16,2540
2008-03-17,2305
2008-03-18,2256
2008-03-19,2231
2008-03-20,2046
2008-03-21,2208
2008-03-22,2493
2008-03-23,2553
2008-03-24,2206
2008-03-25,2150
2008-03-26,2156
2008-03-27,723
2008-03-28,1743
2008-03-29,2405
2008-03-30,2411
2008-03-31,2123
2008-04-01,2183
2008-04-02,2158
2008-04-03,737
2008-04-07,1773
2008-04-08,2042
2008-04-09,2028
2008-04-10,1906
2008-04-11,2057
2008-04-12,2300
2008-04-13,2483
2008-04-14,2080
2008-04-15,1989
2008-04-16,2006
2008-04-17,1882
2008-04-18,2017
2008-04-19,2206
2008-04-20,2405
2008-04-21,2066
2008-04-22,2052
2008-04-23,2032
2008-04-24,1902
2008-04-25,2032
2008-04-26,2307
2008-04-27,2374
2008-04-28,2080
2008-04-29,2103
2008-04-30,1341
2008-05-06,1507
2008-05-07,2047
2008-05-08,1842
2008-05-09,2043
2008-05-10,2262
2008-05-11,2308
2008-05-12,1970
2008-05-13,1932
2008-05-14,2057
2008-05-15,1815
2008-05-16,1357
2008-05-19,1693
2008-05-20,2035
2008-05-21,1927
2008-05-22,1802
2008-05-23,1954
2008-05-24,2173
2008-05-25,2229
2008-05-26,1926
2008-05-27,1907
2008-05-28,1931
2008-05-29,1843
2008-05-30,1936
2008-05-31,2204
2008-06-01,2304
2008-06-02,1972
2008-06-03,2018
2008-06-04,2001
2008-06-05,1810
2008-06-06,1982
2008-06-07,2153
2008-06-08,2308
2008-06-09,1919
2008-06-10,1902
2008-06-11,1904
2008-06-12,1771
2008-06-13,672
2008-06-18,1725
2008-06-19,1721
2008-06-20,1914
2008-06-21,2121
2008-06-22,866
2008-06-23,1249
2008-06-24,1862
2008-06-25,1906
2008-06-26,1862
2008-06-27,1974
2008-06-28,2124
2008-06-29,2158
2008-06-30,1899
2008-07-01,1898
2008-07-02,1846
2008-07-03,1730
2008-07-04,1869
2008-07-05,1986
2008-07-06,2090
2008-07-07,1816
2008-07-08,1842
2008-07-09,1825
2008-07-10,1697
2008-07-11,1865
2008-07-12,2031
2008-07-13,2137
2008-07-14,1897
