yearweek,WAU,new_user_cnt
200752,4278,406
200801,4731,405
200802,4870,395
200803,4877,370
200804,4946,368
200805,4865,306
200806,4977,315
200807,4864,310
200808,4973,323
200809,4710,259
200810,4869,324
200811,4776,285
200812,4538,254
200813,3836,147
200814,4070,203
200815,4398,218
200816,4472,238
200817,3544,113
200818,3694,147
200819,3927,179
200820,3874,174
200821,4228,235
200822,4331,242
200823,3788,160
200824,3264,123
200825,3919,235
200826,4189,253
200827,4185,320
200828,4214,269
200829,4254,296
200830,4065,224
200831,3912,233
200832,4113,283
200833,3912,242
200834,3966,260
200835,3918,227
200836,3923,239
200837,3939,228
200838,3851,232
200839,4034,228
200840,6706,3052
200841,5756,2032
200842,4614,594
200843,4278,297
200844,4050,399
200845,3932,328
200846,4677,365
200847,5014,459
200848,4485,350
200849,4197,275
200850,4150,217
200851,4034,179
200852,3319,113
