yearweek,level_bin,avg_enter_cnt
200752,~10,1.4209
200752,10~19,1.7626
200752,20~29,1.9242
200752,30~39,2.0266
200752,40~49,2.2301
200752,50~59,2.3562
200752,60~69,2.5684
200752,70~79,3.5383
200801,~10,1.5453
200801,10~19,1.9774
200801,20~29,2.4430
200801,30~39,2.4948
200801,40~49,2.7551
200801,50~59,3.0491
200801,60~69,3.2564
200801,70~79,4.7552
200802,~10,1.5965
200802,10~19,2.0268
200802,20~29,2.3115
200802,30~39,2.5185
200802,40~49,2.7817
200802,50~59,3.1965
200802,60~69,3.2113
200802,70~79,4.7240
200803,~10,1.5557
200803,10~19,1.9789
200803,20~29,2.3861
200803,30~39,2.5148
200803,40~49,2.8158
200803,50~59,3.0385
200803,60~69,3.1652
200803,70~79,4.6225
200804,~10,1.5504
200804,10~19,1.9863
200804,20~29,2.3529
200804,30~39,2.4088
200804,40~49,2.8213
200804,50~59,3.1852
200804,60~69,3.2351
200804,70~79,4.7071
200805,~10,1.5584
200805,10~19,1.9030
200805,20~29,2.1976
200805,30~39,2.5701
200805,40~49,2.5263
200805,50~59,3.2900
200805,60~69,3.1387
200805,70~79,4.4077
200806,~10,1.5438
200806,10~19,1.8492
200806,20~29,2.2077
200806,30~39,2.6042
200806,40~49,2.6854
200806,50~59,2.9528
200806,60~69,3.1966
200806,70~79,4.5734
200807,~10,1.5448
200807,10~19,2.0092
200807,20~29,2.2059
200807,30~39,2.3486
200807,40~49,3.0201
200807,50~59,3.0642
200807,60~69,3.1877
200807,70~79,4.6524
200808,~10,1.6114
200808,10~19,1.9916
200808,20~29,2.2506
200808,30~39,2.4000
200808,40~49,2.8179
200808,50~59,3.0995
200808,60~69,3.2778
200808,70~79,4.7489
200809,~10,1.6266
200809,10~19,1.9889
200809,20~29,2.2249
200809,30~39,2.5683
200809,40~49,2.8555
200809,50~59,2.9545
200809,60~69,3.3124
200809,70~79,4.6076
200810,~10,1.6132
200810,10~19,2.0649
200810,20~29,2.1206
200810,30~39,2.3897
200810,40~49,2.8231
200810,50~59,3.0741
200810,60~69,3.3518
200810,70~79,4.5867
200811,~10,1.5745
200811,10~19,1.8789
200811,20~29,2.2884
200811,30~39,2.6890
200811,40~49,2.6165
200811,50~59,3.1606
200811,60~69,3.3651
200811,70~79,4.5996
200812,~10,1.4721
200812,10~19,1.8224
200812,20~29,1.8942
200812,30~39,2.3521
200812,40~49,2.4400
200812,50~59,2.7901
200812,60~69,2.8529
200812,70~79,4.1456
200813,~10,1.2953
200813,10~19,1.5928
200813,20~29,1.7366
200813,30~39,1.8927
200813,40~49,2.0423
200813,50~59,2.4122
200813,60~69,2.1766
200813,70~79,3.1883
200814,~10,1.4420
200814,10~19,1.8164
200814,20~29,2.1154
200814,30~39,2.1648
200814,40~49,2.4055
200814,50~59,2.4419
200814,60~69,2.5734
200814,70~79,3.9659
200815,~10,1.5338
200815,10~19,1.8630
200815,20~29,2.1541
200815,30~39,2.4178
200815,40~49,2.3427
200815,50~59,3.1939
200815,60~69,2.8140
200815,70~79,4.6298
200816,~10,1.6009
200816,10~19,1.8753
200816,20~29,2.1314
200816,30~39,2.5172
200816,40~49,2.6271
200816,50~59,2.7895
200816,60~69,3.0866
200816,70~79,4.5392
200817,~10,1.3677
200817,10~19,1.4966
200817,20~29,1.7398
200817,30~39,1.9282
200817,40~49,1.8391
200817,50~59,2.0345
200817,60~69,2.0547
200817,70~79,2.6812
200818,~10,1.4070
200818,10~19,1.6821
200818,20~29,1.9686
200818,30~39,2.0833
200818,40~49,2.1966
200818,50~59,2.2500
200818,60~69,2.4116
200818,70~79,3.2771
200819,~10,1.5247
200819,10~19,1.9091
200819,20~29,2.0203
200819,30~39,2.1571
200819,40~49,2.4328
200819,50~59,2.7368
200819,60~69,2.6565
200819,70~79,3.7262
200820,~10,1.4950
200820,10~19,1.8466
200820,20~29,2.0415
200820,30~39,2.3762
200820,40~49,2.5051
200820,50~59,2.6178
200820,60~69,2.9303
200820,70~79,3.8554
200821,~10,1.6399
200821,10~19,2.0330
200821,20~29,2.1766
200821,30~39,2.5720
200821,40~49,2.6190
200821,50~59,3.1718
200821,60~69,3.2129
200821,70~79,4.3140
200822,~10,1.6259
200822,10~19,2.0745
200822,20~29,2.2451
200822,30~39,2.6724
200822,40~49,2.5667
200822,50~59,3.0856
200822,60~69,3.0897
200822,70~79,4.2652
200823,~10,1.4626
200823,10~19,1.7105
200823,20~29,2.0362
