柳丰斥档,林惑捍内靛,己喊,楷飞焙,券磊荐,疙技辑 没备扒荐,夸剧鞭咯厚侩醚咀,焊氰磊何淬陛
2019,A00,巢,01_0~4技,4,4,76880 ,62780 
2019,A00,巢,02_5~9技,5,5,127040 ,90940 
2019,A00,巢,03_10~14技,4,10,3589640 ,3321150 
2019,A00,巢,04_15~19技,5,7,833880 ,630190 
2019,A00,巢,05_20~24技,3,3,1914230 ,1536180 
2019,A00,巢,06_25~29技,2,4,72110 ,50610 
2019,A00,巢,07_30~34技,3,3,1827840 ,1354250 
2019,A00,巢,08_35~39技,1,1,26920 ,18920 
2019,A00,巢,09_40~44技,4,4,468100 ,304200 
2019,A00,巢,10_45~49技,1,1,1987960 ,1676750 
2019,A00,巢,11_50~54技,2,2,47150 ,30550 
2019,A00,巢,12_55~59技,3,3,58210 ,27810 
2019,A00,巢,13_60~64技,1,3,44420 ,31220 
2019,A00,巢,14_65~69技,6,8,147530 ,119030 
2019,A00,巢,15_70~74技,3,3,2559480 ,1859000 
2019,A00,巢,16_75~79技,2,2,3227120 ,2517550 
2019,A00,巢,17_80~84技,1,1,12700 ,11200 
2019,A00,咯,01_0~4技,4,4,89710 ,71010 
2019,A00,咯,02_5~9技,5,5,104080 ,73080 
2019,A00,咯,03_10~14技,2,2,27530 ,19430 
2019,A00,咯,04_15~19技,3,3,41160 ,28360 
2019,A00,咯,05_20~24技,3,3,967410 ,775750 
2019,A00,咯,06_25~29技,4,4,57210 ,40210 
2019,A00,咯,07_30~34技,2,3,82220 ,61920 
2019,A00,咯,08_35~39技,1,1,21580 ,15180 
2019,A00,咯,09_40~44技,4,4,96060 ,66260 
2019,A00,咯,10_45~49技,1,2,23500 ,16500 
2019,A00,咯,11_50~54技,2,3,3654830 ,2928940 
2019,A00,咯,12_55~59技,4,4,210360 ,164110 
2019,A00,咯,13_60~64技,4,7,2077400 ,1405200 
2019,A00,咯,14_65~69技,2,4,192720 ,138220 
2019,A00,咯,15_70~74技,1,1,11210 ,9710 
2019,A00,咯,17_80~84技,2,3,4982810 ,3674990 
2019,A01,巢,01_0~4技,4,11,4609850 ,4223570 
2019,A01,巢,02_5~9技,9,11,12804280 ,11747600 
2019,A01,巢,03_10~14技,2,2,4186250 ,3693550 
2019,A01,巢,04_15~19技,7,24,26694050 ,23417810 
2019,A01,巢,05_20~24技,9,17,25660460 ,20368330 
2019,A01,巢,06_25~29技,14,39,36073080 ,28984680 
2019,A01,巢,07_30~34技,6,14,5179250 ,3971000 
2019,A01,巢,08_35~39技,9,24,16575970 ,12422040 
2019,A01,巢,09_40~44技,7,26,31257130 ,24223640 
2019,A01,巢,10_45~49技,4,16,3647090 ,2679110 
2019,A01,巢,11_50~54技,5,12,20851020 ,16940630 
2019,A01,巢,12_55~59技,6,7,2754150 ,2061170 
2019,A01,巢,13_60~64技,7,15,4912960 ,3863180 
2019,A01,巢,14_65~69技,2,5,1302660 ,974090 
2019,A01,巢,15_70~74技,5,11,6008610 ,4686720 
2019,A01,巢,16_75~79技,3,3,6135690 ,4666400 
2019,A01,巢,17_80~84技,1,1,2965040 ,2387300 
2019,A01,咯,01_0~4技,6,14,12379060 ,11415400 
2019,A01,咯,02_5~9技,3,9,7280650 ,6628210 
2019,A01,咯,03_10~14技,3,4,2608460 ,2398630 
2019,A01,咯,04_15~19技,6,10,10135080 ,8045760 
2019,A01,咯,05_20~24技,13,16,24119730 ,20058330 
2019,A01,咯,06_25~29技,8,22,14225110 ,11285940 
2019,A01,咯,07_30~34技,10,18,15872240 ,12441260 
2019,A01,咯,08_35~39技,8,18,8187570 ,6219530 
2019,A01,咯,09_40~44技,11,15,14083700 ,11045900 
2019,A01,咯,10_45~49技,9,11,1768300 ,1347510 
2019,A01,咯,11_50~54技,6,13,5626320 ,4385170 
2019,A01,咯,12_55~59技,10,26,17695300 ,13932640 
2019,A01,咯,13_60~64技,6,6,12901930 ,10002130 
2019,A01,咯,14_65~69技,6,8,14128050 ,11011330 
2019,A01,咯,15_70~74技,4,4,10712900 ,8676120 
2019,A01,咯,16_75~79技,1,2,2464060 ,1949130 
2019,A01,咯,17_80~84技,5,5,6680210 ,5004090 
2019,A02,巢,01_0~4技,364,579,372712700 ,330463300 
2019,A02,巢,02_5~9技,313,519,306261540 ,269805580 
2019,A02,巢,03_10~14技,186,273,159150010 ,141730170 
2019,A02,巢,04_15~19技,151,207,71962910 ,57852960 
2019,A02,巢,05_20~24技,123,150,34756110 ,25631550 
2019,A02,巢,06_25~29技,133,185,26786500 ,20825240 
2019,A02,巢,07_30~34技,97,126,29546010 ,23195270 
2019,A02,巢,08_35~39技,112,144,55338730 ,43179150 
2019,A02,巢,09_40~44技,95,127,30940880 ,23920370 
2019,A02,巢,10_45~49技,124,169,41824360 ,32528610 
2019,A02,巢,11_50~54技,110,150,91998900 ,72522230 
2019,A02,巢,12_55~59技,173,256,168218260 ,129587670 
2019,A02,巢,13_60~64技,160,279,147763470 ,113722200 
2019,A02,巢,14_65~69技,112,197,127093370 ,100247420 
2019,A02,巢,15_70~74技,98,150,135242470 ,107071900 
2019,A02,巢,16_75~79技,87,170,134452730 ,109293930 
2019,A02,巢,17_80~84技,45,80,58769330 ,45409690 
2019,A02,巢,18_85技 捞惑,23,31,20651100 ,16238340 
2019,A02,咯,01_0~4技,349,587,385354950 ,340082540 
2019,A02,咯,02_5~9技,263,416,247713510 ,219549080 
2019,A02,咯,03_10~14技,129,203,127078530 ,111396880 
2019,A02,咯,04_15~19技,127,185,49208100 ,40468820 
2019,A02,咯,05_20~24技,143,181,24268200 ,18305340 
2019,A02,咯,06_25~29技,139,203,22290730 ,17131910 
2019,A02,咯,07_30~34技,121,186,64880680 ,50470020 
2019,A02,咯,08_35~39技,105,166,21483140 ,16564590 
2019,A02,咯,09_40~44技,104,143,27758730 ,20921280 
2019,A02,咯,10_45~49技,156,242,53189440 ,41617080 
2019,A02,咯,11_50~54技,195,312,67779400 ,52507280 
2019,A02,咯,12_55~59技,187,286,82130640 ,64304960 
2019,A02,咯,13_60~64技,179,364,122274780 ,95222910 
2019,A02,咯,14_65~69技,110,187,68353470 ,51702840 
2019,A02,咯,15_70~74技,111,197,110656970 ,87865350 
2019,A02,咯,16_75~79技,82,140,63496580 ,48403290 
2019,A02,咯,17_80~84技,64,120,53423890 ,42418220 
2019,A02,咯,18_85技 捞惑,40,75,68203420 ,54440960 
2019,A03,巢,01_0~4技,8,10,7792270 ,6949000 
2019,A03,巢,02_5~9技,10,18,12915640 ,11664360 
2019,A03,巢,03_10~14技,6,10,8060020 ,7450310 
2019,A03,巢,04_15~19技,2,4,1604210 ,1315720 
2019,A03,巢,05_20~24技,5,10,6029060 ,4957670 
2019,A03,巢,06_25~29技,9,14,8138900 ,6115410 
2019,A03,巢,07_30~34技,7,8,2656950 ,2072730 
2019,A03,巢,08_35~39技,2,2,106740 ,50240 
2019,A03,巢,09_40~44技,3,5,6414030 ,5098410 
2019,A03,巢,10_45~49技,4,6,4027030 ,3165760 
2019,A03,巢,11_50~54技,6,9,11807600 ,9414080 
2019,A03,巢,12_55~59技,1,2,219940 ,110140 
2019,A03,巢,13_60~64技,2,2,16430 ,12630 
2019,A03,巢,14_65~69技,7,10,1628820 ,1253760 
2019,A03,巢,15_70~74技,5,8,9559580 ,7531070 
2019,A03,巢,18_85技 捞惑,1,1,32392950 ,26963290 
2019,A03,咯,01_0~4技,6,16,10390670 ,9153300 
2019,A03,咯,02_5~9技,16,32,20936460 ,19001240 
2019,A03,咯,03_10~14技,10,20,8349610 ,7560010 
2019,A03,咯,04_15~19技,4,4,2680150 ,2368410 
2019,A03,咯,05_20~24技,8,15,9400990 ,7501700 
2019,A03,咯,06_25~29技,10,13,14251740 ,11434510 
2019,A03,咯,07_30~34技,5,8,5612480 ,4625560 
2019,A03,咯,08_35~39技,5,5,1200290 ,1009460 
2019,A03,咯,09_40~44技,4,6,5249160 ,4293530 
2019,A03,咯,10_45~49技,5,5,3730650 ,3104980 
2019,A03,咯,11_50~54技,9,13,12844550 ,10371510 
2019,A03,咯,12_55~59技,2,3,4126930 ,3256980 
2019,A03,咯,13_60~64技,10,14,16447410 ,13151970 
2019,A03,咯,14_65~69技,5,6,12160190 ,9850900 
2019,A03,咯,15_70~74技,2,4,53760 ,41460 
2019,A03,咯,16_75~79技,3,7,5499200 ,4463430 
2019,A03,咯,18_85技 捞惑,1,1,1250670 ,1015540 
2019,A04,巢,01_0~4技,7835,13060,1146511850 ,1012461910 
2019,A04,巢,02_5~9技,8805,12424,949960710 ,800634710 
2019,A04,巢,03_10~14技,13112,18183,1081567420 ,899145600 
2019,A04,巢,04_15~19技,23888,33824,1595662590 ,1187733870 
2019,A04,巢,05_20~24技,24632,30639,1626787790 ,1171290890 
2019,A04,巢,06_25~29技,30185,37229,1758466100 ,1250020740 
2019,A04,巢,07_30~34技,23657,29027,1292895470 ,914117420 
2019,A04,巢,08_35~39技,23590,29379,1389969210 ,984546280 
2019,A04,巢,09_40~44技,18261,23391,1082337830 ,768541870 
2019,A04,巢,10_45~49技,18131,23816,1234546950 ,891419950 
2019,A04,巢,11_50~54技,16771,22480,1270762060 ,932644670 
2019,A04,巢,12_55~59技,17816,24706,1506418050 ,1099269680 
2019,A04,巢,13_60~64技,16647,24342,1524762270 ,1131926730 
2019,A04,巢,14_65~69技,13524,20875,1418505310 ,1112881940 
2019,A04,巢,15_70~74技,11411,18508,1893764010 ,1505812280 
2019,A04,巢,16_75~79技,9907,17426,2602668980 ,2093521140 
2019,A04,巢,17_80~84技,5846,10515,2305600120 ,1834239540 
2019,A04,巢,18_85技 捞惑,2605,4584,2173541210 ,1723161640 
2019,A04,咯,01_0~4技,6764,11424,1002378880 ,883520170 
2019,A04,咯,02_5~9技,7354,10588,748939370 ,632843460 
2019,A04,咯,03_10~14技,10070,13654,776447070 ,639337480 
2019,A04,咯,04_15~19技,23995,32206,1558535880 ,1158307900 
2019,A04,咯,05_20~24技,29685,36576,1932355420 ,1385890950 
2019,A04,咯,06_25~29技,30894,38898,1857735820 ,1320391600 
2019,A04,咯,07_30~34技,23423,30200,1384342920 ,984299430 
2019,A04,咯,08_35~39技,24315,32685,1472479650 ,1046760970 
2019,A04,咯,09_40~44技,19947,27770,1399833500 ,1003930150 
2019,A04,咯,10_45~49技,21670,30440,1557858910 ,1123131400 
2019,A04,咯,11_50~54技,22106,31326,1888728490 ,1372599250 
2019,A04,咯,12_55~59技,24186,35084,2244514800 ,1650404150 
2019,A04,咯,13_60~64技,22480,33802,2424968170 ,1799958990 
2019,A04,咯,14_65~69技,17756,27921,2201377670 ,1729844990 
2019,A04,咯,15_70~74技,14887,24910,2774874670 ,2188606960 
