진료년도,주상병코드,시도 구분,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,A00,서울,19,26,56,9198360 ,7114850 
2019,A00,부산,6,7,10,2212480 ,1640790 
2019,A00,인천,4,4,8,3110250 ,2402780 
2019,A00,대구,10,11,70,5135970 ,3778150 
2019,A00,대전,2,2,2,49990 ,35090 
2019,A00,울산,3,3,6,1760790 ,1198590 
2019,A00,경기,18,26,36,4008240 ,3615650 
2019,A00,강원,2,2,3,937770 ,772310 
2019,A00,충북,3,3,7,2329060 ,1899450 
2019,A00,충남,3,3,3,38500 ,26500 
2019,A00,전북,3,3,3,46840 ,29340 
2019,A00,전남,4,6,6,232790 ,172090 
2019,A00,경북,4,5,5,172050 ,119950 
2019,A00,경남,8,8,8,313220 ,237170 
2019,A00,제주,3,4,4,53530 ,44230 
2019,A00,세종,2,4,4,61160 ,44260 
2019,A01,서울,47,120,336,89405210 ,68540220 
2019,A01,부산,20,31,118,32001330 ,26264740 
2019,A01,인천,12,28,95,28714740 ,23955060 
2019,A01,대구,6,15,34,7705170 ,5995720 
2019,A01,광주,10,13,62,14472470 ,12092010 
2019,A01,대전,8,33,86,18885880 ,15354590 
2019,A01,울산,5,13,40,9896320 ,8533220 
2019,A01,경기,39,102,399,104194360 ,83763050 
2019,A01,강원,6,9,54,13387380 ,11447090 
2019,A01,충북,2,3,27,7271460 ,6190300 
2019,A01,충남,9,11,43,11333140 ,9417570 
2019,A01,전북,7,9,26,7774420 ,6390590 
2019,A01,전남,1,2,2,106790 ,53490 
2019,A01,경북,23,24,82,15684660 ,12636950 
2019,A01,경남,17,21,113,27499940 ,23332870 
2019,A01,제주,3,5,15,4152940 ,3190430 
2019,A02,서울,711,1245,3236,803355870 ,656749040 
2019,A02,부산,196,275,964,215959260 ,178257680 
2019,A02,인천,159,277,856,229007330 ,184401080 
2019,A02,대구,86,124,426,107887670 ,89430800 
2019,A02,광주,406,763,1481,215303750 ,176874770 
2019,A02,대전,77,107,397,114691190 ,93648540 
2019,A02,울산,33,52,196,46032900 ,38911520 
2019,A02,경기,1631,2653,5318,898602320 ,762765830 
2019,A02,강원,64,121,371,89943360 ,74663820 
2019,A02,충북,57,78,312,52483320 ,43309170 
2019,A02,충남,150,221,604,100303410 ,83543490 
2019,A02,전북,351,582,1395,193245740 ,155872530 
2019,A02,전남,346,451,1348,202033190 ,168424380 
2019,A02,경북,546,674,1290,179395410 ,146480360 
2019,A02,경남,248,321,1063,203870500 ,165362760 
2019,A02,제주,28,39,116,19159160 ,16282540 
2019,A02,세종,2,2,6,1740160 ,1620620 
2019,A03,서울,38,61,110,25183280 ,19552220 
2019,A03,부산,15,20,111,29790950 ,25140280 
2019,A03,인천,11,22,56,14115110 ,11427610 
