date,brand,sneaker,sale,retail,profit,profitpercent
01-15,"Off White","Air Jordan 1 Retro High Off White Chicago",1525,190,1335,702.6315789
01-15,"Off White","Air Jordan 1 Retro High Off White Chicago",1661,190,1471,774.2105263
01-15,"Off White","Air Force 1 Low Off White",615,170,445,261.7647059
01-15,"Off White","Air Force 1 Low Off White",625,170,455,267.6470588
01-15,"Off White","Air Max 97 Off White",750,190,560,294.7368421
01-15,"Off White","Air Max 97 Off White",620,190,430,226.3157895
01-15,"Off White","Air Presto Off White",1150,160,990,618.75
01-15,"Off White","Air VaporMax Off White",805,250,555,222
01-15,"Off White","Blazer Mid Off White",660,130,530,407.6923077
01-15,"Off White","Blazer Mid Off White",690,130,560,430.7692308
01-15,"Off White","React Hyperdunk 2017 Flyknit Off White",450,200,250,125
01-15,"Off White","React Hyperdunk 2017 Flyknit Off White",360,200,160,80
01-15,"Off White","React Hyperdunk 2017 Flyknit Off White",399,200,199,99.5
01-15,"Off White","React Hyperdunk 2017 Flyknit Off White",431,200,231,115.5
01-15,"Off White","Zoom Fly Off White",385,170,215,126.4705882
01-16,"Off White","Air Jordan 1 Retro High Off White Chicago",1725,190,1535,807.8947368
01-16,"Off White","Air Jordan 1 Retro High Off White Chicago",1555,190,1365,718.4210526
01-16,"Off White","Air Max 97 Off White",610,190,420,221.0526316
01-16,"Off White","Air Max 97 Off White",609,190,419,220.5263158
01-16,"Off White","Air Presto Off White",1150,160,990,618.75
01-16,"Off White","Air Presto Off White",950,160,790,493.75
01-16,"Off White","Air VaporMax Off White",870,250,620,248
01-16,"Off White","Blazer Mid Off White",700,130,570,438.4615385
01-16,"Off White","React Hyperdunk 2017 Flyknit Off White",405,200,205,102.5
01-16,"Off White","React Hyperdunk 2017 Flyknit Off White",400,200,200,100
01-16,"Off White","React Hyperdunk 2017 Flyknit Off White",435,200,235,117.5
01-16,"Off White","Zoom Fly Off White",500,170,330,194.1176471
01-17,"Off White","Air Jordan 1 Retro High Off White Chicago",1700,190,1510,794.7368421
01-17,"Off White","Air Jordan 1 Retro High Off White Chicago",1403,190,1213,638.4210526
01-17,"Off White","Air Jordan 1 Retro High Off White Chicago",1510,190,1320,694.7368421
01-17,"Off White","Air Force 1 Low Off White",686,170,516,303.5294118
01-17,"Off White","Air Max 90 Off White",681,160,521,325.625
01-17,"Off White","Air Max 97 Off White",620,190,430,226.3157895
01-17,"Off White","Air Presto Off White",961,160,801,500.625
01-17,"Off White","Air Presto Off White",1080,160,920,575
01-17,"Off White","Air VaporMax Off White",770,250,520,208
01-17,"Off White","Air VaporMax Off White",875,250,625,250
01-17,"Off White","Blazer Mid Off White",725,130,595,457.6923077
01-17,"Off White","Blazer Mid Off White",702,130,572,440
01-17,"Off White","Blazer Mid Off White",700,130,570,438.4615385
01-17,"Off White","React Hyperdunk 2017 Flyknit Off White",451,200,251,125.5
01-17,"Off White","React Hyperdunk 2017 Flyknit Off White",440,200,240,120
01-17,"Off White","Zoom Fly Off White",550,170,380,223.5294118
01-18,"Off White","Air Jordan 1 Retro High Off White Chicago",1550,190,1360,715.7894737
01-18,"Off White","Air Jordan 1 Retro High Off White Chicago",1575,190,1385,728.9473684
01-18,"Off White","Air Jordan 1 Retro High Off White Chicago",1560,190,1370,721.0526316
01-18,"Off White","Air Force 1 Low Off White",721,170,551,324.1176471
01-18,"Off White","Air Force 1 Low Off White",710,170,540,317.6470588
01-18,"Off White","Air Max 90 Off White",530,160,370,231.25
01-18,"Off White","Air Max 90 Off White",630,160,470,293.75
01-18,"Off White","Air Max 97 Off White",610,190,420,221.0526316
01-18,"Off White","Air Max 97 Off White",639,190,449,236.3157895
01-18,"Off White","Air Presto Off White",960,160,800,500
01-18,"Off White","Air Presto Off White",1000,160,840,525
01-18,"Off White","Air Presto Off White",1319,160,1159,724.375
01-18,"Off White","Air VaporMax Off White",792,250,542,216.8
01-18,"Off White","Air VaporMax Off White",666,250,416,166.4
01-18,"Off White","Blazer Mid Off White",685,130,555,426.9230769
01-18,"Off White","Blazer Mid Off White",745,130,615,473.0769231
01-18,"Off White","React Hyperdunk 2017 Flyknit Off White",408,200,208,104
01-18,"Off White","Zoom Fly Off White",531,170,361,212.3529412
01-18,"Off White","Zoom Fly Off White",564,170,394,231.7647059
01-19,"Off White","Air Jordan 1 Retro High Off White Chicago",1480,190,1290,678.9473684
01-19,"Off White","Air Jordan 1 Retro High Off White Chicago",1299,190,1109,583.6842105
01-19,"Off White","Air Force 1 Low Off White",706,170,536,315.2941176
01-19,"Off White","Air Max 90 Off White",690,160,530,331.25
01-19,"Off White","Air Max 90 Off White",625,160,465,290.625
01-19,"Off White","Air Max 97 Off White",644,190,454,238.9473684
01-19,"Off White","Air Max 97 Off White",645,190,455,239.4736842
01-19,"Off White","Air Max 97 Off White",615,190,425,223.6842105
01-19,"Off White","Air Presto Off White",1030,160,870,543.75
01-19,"Off White","Air Presto Off White",1100,160,940,587.5
01-19,"Off White","Air Presto Off White",1253,160,1093,683.125
01-19,"Off White","Air VaporMax Off White",875,250,625,250
01-19,"Off White","Air VaporMax Off White",611,250,361,144.4
01-19,"Off White","Blazer Mid Off White",622,130,492,378.4615385
01-19,"Off White","React Hyperdunk 2017 Flyknit Off White",424,200,224,112
01-19,"Off White","React Hyperdunk 2017 Flyknit Off White",406,200,206,103
01-19,"Off White","Zoom Fly Off White",425,170,255,150
01-19,"Off White","Zoom Fly Off White",465,170,295,173.5294118
01-20,"Off White","Air Jordan 1 Retro High Off White Chicago",1630,190,1440,757.8947368
01-20,"Off White","Air Jordan 1 Retro High Off White Chicago",1460,190,1270,668.4210526
01-20,"Off White","Air Force 1 Low Off White",785,170,615,361.7647059
01-20,"Off White","Air Force 1 Low Off White",700,170,530,311.7647059
01-20,"Off White","Air Max 90 Off White",677,160,517,323.125
01-20,"Off White","Air Max 90 Off White",711,160,551,344.375
01-20,"Off White","Air Max 97 Off White",600,190,410,215.7894737
01-20,"Off White","Air Max 97 Off White",624,190,434,228.4210526
01-20,"Off White","Air Presto Off White",1230,160,1070,668.75
01-20,"Off White","Air Presto Off White",1290,160,1130,706.25
01-20,"Off White","Air VaporMax Off White",810,250,560,224
01-20,"Off White","Air VaporMax Off White",799,250,549,219.6
01-20,"Off White","Blazer Mid Off White",585,130,455,350
01-20,"Off White","Blazer Mid Off White",690,130,560,430.7692308
01-20,"Off White","React Hyperdunk 2017 Flyknit Off White",420,200,220,110
01-20,"Off White","Zoom Fly Off White",530,170,360,211.7647059
01-21,"Off White","Air Jordan 1 Retro High Off White Chicago",1690,190,1500,789.4736842
01-21,"Off White","Air Force 1 Low Off White",660,170,490,288.2352941
01-21,"Off White","Air Force 1 Low Off White",701,170,531,312.3529412
01-21,"Off White","Air Max 90 Off White",680,160,520,325
01-21,"Off White","Air Max 97 Off White",700,190,510,268.4210526
01-21,"Off White","Air Presto Off White",1086,160,926,578.75
01-21,"Off White","Air Presto Off White",1185,160,1025,640.625
01-21,"Off White","Air Presto Off White",1285,160,1125,703.125
01-21,"Off White","Air VaporMax Off White",790,250,540,216
01-21,"Off White","Air VaporMax Off White",870,250,620,248
01-21,"Off White","Blazer Mid Off White",615,130,485,373.0769231
01-21,"Off White","React Hyperdunk 2017 Flyknit Off White",415,200,215,107.5
01-21,"Off White","Zoom Fly Off White",535,170,365,214.7058824
01-15," Yeezy",350-Low-Pirate-Black-2015,985,200,785,392.5
01-15," Yeezy",350-Low-V2-Beluga,907,220,687,312.27272727272725
01-15," Yeezy",350-V2-Beluga-2pt0,387,220,167,75.9090909090909
01-15," Yeezy",350-V2-Beluga-2pt0,360,220,140,63.63636363636363
01-15," Yeezy",350-V2-Beluga-2pt0,412,220,192,87.27272727272727
01-15," Yeezy",350-V2-Beluga-2pt0,342,220,122,55.45454545454545
01-15," Yeezy",350-V2-Beluga-2pt0,325,220,105,47.72727272727273
01-15," Yeezy",350-V2-Beluga-2pt0,374,220,154,70
01-15," Yeezy",350-V2-Beluga-2pt0,379,220,159,72.27272727272728
