Brand,Sneaker,Sale,Retail,Order_Date
" Yeezy",350-Low-Pirate-Black-2015,985,200,01-15
" Yeezy",350-Low-V2-Beluga,907,220,01-15
" Yeezy",350-V2-Beluga-2pt0,387,220,01-15
" Yeezy",350-V2-Beluga-2pt0,360,220,01-15
" Yeezy",350-V2-Beluga-2pt0,412,220,01-15
" Yeezy",350-V2-Beluga-2pt0,342,220,01-15
" Yeezy",350-V2-Beluga-2pt0,325,220,01-15
" Yeezy",350-V2-Beluga-2pt0,374,220,01-15
" Yeezy",350-V2-Beluga-2pt0,379,220,01-15
" Yeezy",350-V2-Beluga-2pt0,365,220,01-15
" Yeezy",350-V2-Beluga-2pt0,360,220,01-15
" Yeezy",350-V2-Beluga-2pt0,361,220,01-15
" Yeezy",350-V2-Beluga-2pt0,369,220,01-15
" Yeezy",350-V2-Beluga-2pt0,359,220,01-15
" Yeezy",350-V2-Beluga-2pt0,380,220,01-15
" Yeezy",350-V2-Beluga-2pt0,386,220,01-15
" Yeezy",350-V2-Beluga-2pt0,385,220,01-15
" Yeezy",350-V2-Beluga-2pt0,425,220,01-15
" Yeezy",350-V2-Beluga-2pt0,365,220,01-15
" Yeezy",350-V2-Beluga-2pt0,375,220,01-15
" Yeezy",350-V2-Beluga-2pt0,359,220,01-15
" Yeezy",350-V2-Beluga-2pt0,375,220,01-15
" Yeezy",350-V2-Beluga-2pt0,398,220,01-15
" Yeezy",350-V2-Beluga-2pt0,370,220,01-15
" Yeezy",350-V2-Beluga-2pt0,350,220,01-15
" Yeezy",350-V2-Beluga-2pt0,360,220,01-15
" Yeezy",350-V2-Beluga-2pt0,400,220,01-15
" Yeezy",350-V2-Beluga-2pt0,415,220,01-15
" Yeezy",350-V2-Beluga-2pt0,346,220,01-15
" Yeezy",350-V2-Beluga-2pt0,350,220,01-15
" Yeezy",350-V2-Beluga-2pt0,390,220,01-15
" Yeezy",350-V2-Blue-Tint,400,220,01-15
" Yeezy",350-V2-Blue-Tint,330,220,01-15
" Yeezy",350-V2-Blue-Tint,330,220,01-15
" Yeezy",350-V2-Blue-Tint,368,220,01-15
" Yeezy",350-V2-Blue-Tint,326,220,01-15
" Yeezy",350-V2-Blue-Tint,360,220,01-15
" Yeezy",350-V2-Blue-Tint,347,220,01-15
" Yeezy",350-V2-Blue-Tint,340,220,01-15
" Yeezy",350-V2-Blue-Tint,345,220,01-15
" Yeezy",350-V2-Blue-Tint,378,220,01-15
" Yeezy",350-V2-Blue-Tint,353,220,01-15
" Yeezy",350-V2-Blue-Tint,364,220,01-15
" Yeezy",350-V2-Blue-Tint,349,220,01-15
" Yeezy",350-V2-Blue-Tint,355,220,01-15
" Yeezy",350-V2-Blue-Tint,365,220,01-15
" Yeezy",350-V2-Blue-Tint,385,220,01-15
" Yeezy",350-V2-Blue-Tint,326,220,01-15
" Yeezy",350-V2-Blue-Tint,357,220,01-15
" Yeezy",350-V2-Blue-Tint,372,220,01-15
" Yeezy",350-V2-Blue-Tint,378,220,01-15
" Yeezy",350-V2-Blue-Tint,353,220,01-15
" Yeezy",350-V2-Blue-Tint,331,220,01-15
" Yeezy",350-V2-Blue-Tint,350,220,01-15
" Yeezy",350-V2-Blue-Tint,353,220,01-15
" Yeezy",350-V2-Blue-Tint,351,220,01-15
" Yeezy",350-V2-Blue-Tint,378,220,01-15
" Yeezy",350-V2-Blue-Tint,350,220,01-15
